scene_id,under_warning_rate,over_warning_rate,adaptive_under_warning_rate,adaptive_over_warning_rate,static_under_warning_rate,static_over_warning_rate,gt_tier_distribution,adaptive_tier_accuracy,static_tier_accuracy,adaptive_intervention_recall,static_intervention_recall,adaptive_emergency_recall,static_emergency_recall,cue_risk_monotonicity,shap_alignment,warning_lead_time_s,min_distance_m,cue_flicker_hz,visual_clutter,mean_score,tier_distribution,condition,dataset
scene-0061_b4db946778484c2195efa320571f53dc_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 10, 'intervention': 2, 'silent': 8}",0.7,0.5,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4166693576562682,0.13999999999999999,66.36669627859088,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_e2f67391cb914b0cbdda3995dbc397f8_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 11, 'intervention': 2, 'silent': 7}",0.65,0.55,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4166933610851112,0.13999999999999999,66.10911930414478,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_95fc384cb4994ffe9a5caf914274ab22_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 10, 'intervention': 2, 'silent': 8}",0.7,0.5,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.41884031702442437,0.13999999999999999,66.6383080453583,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_0e79e7bed1d543c9a00acfbf90ff60b3_clip000,0.0,0.0,0.0,0.0,1.0,0.0,"{'advisory': 4, 'emergency': 3, 'intervention': 3, 'silent': 5}",0.3333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,-0.8752550648647676,1.0,4.9987580000000005,2.677125974241124,0.5674882572492369,0.18,61.0812806506951,"{'advisory': 4, 'intervention': 2, 'silent': 9}",clean,nuscenes
scene-0061_1bc410ff237c4c48b9b7b094a9eaeb4d_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'intervention': 2, 'silent': 9}",0.75,0.45,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4187926501052322,0.13999999999999999,66.81767982736713,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_71603dd1a2ba4e9daf095535e38310ac_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 10, 'intervention': 2, 'silent': 8}",0.7,0.5,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.41884031702442437,0.13999999999999999,66.6383080453583,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_eb3da8843f614a90a48ddb6ee392c0c0_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 10, 'intervention': 2, 'silent': 8}",0.7,0.5,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.41884031702442437,0.13999999999999999,66.6383080453583,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_070412f6a4f944e6a0a9e01ac1ea1fee_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'intervention': 2, 'silent': 9}",0.75,0.45,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4187909839326652,0.13999999999999999,67.0788960129716,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_e59d97d4403a48b88fbb6a58fc9959e6_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'intervention': 2, 'silent': 9}",0.75,0.45,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4187926501052322,0.13999999999999999,66.81767982736713,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_e1e148c7bcb14072822872a4cfc8e882_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'intervention': 2, 'silent': 9}",0.75,0.45,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4187926501052322,0.13999999999999999,66.81767982736713,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_f81722a685cc49eba454efbb3aec0331_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 10, 'intervention': 2, 'silent': 8}",0.7,0.5,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.41884031702442437,0.13999999999999999,66.6383080453583,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_acc1b985c3b746cdbb22fc59bb41b774_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'intervention': 2, 'silent': 9}",0.75,0.45,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4187926501052322,0.13999999999999999,66.81767982736713,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_73ee514c205c483da3d1d04282337457_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'intervention': 2, 'silent': 9}",0.75,0.45,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4187926501052322,0.13999999999999999,66.81767982736713,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_9e6d680cd81942f5acdfbb07254f8f45_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 8, 'intervention': 2, 'silent': 10}",0.8,0.4,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.42098469794295307,0.13999999999999999,67.39728682119569,"{'advisory': 8, 'silent': 12}",clean,nuscenes
scene-0061_1e775890010e4d97b74ca1d06441d023_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 11},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.844171317134732,0.0,0.0,78.03292927830381,{'silent': 11},clean,nuscenes
scene-0061_203a688b840844b8ae16a2b07967ffad_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 11},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.844171317134732,0.0,0.0,78.03292927830381,{'silent': 11},clean,nuscenes
scene-0103_3b19bb63d0924f4da3034819357d6c8b_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9, 'silent': 1}",0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,-0.6076436202501999,0.0,0.0,5.779254636762074,0.15626379516316674,0.3,53.12647438517053,"{'advisory': 12, 'silent': 2}",clean,nuscenes
scene-0103_68a40df2846e4298af0417ea12721b5c_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9}",0.23076923076923078,0.3076923076923077,0.0,0.0,0.0,0.0,-0.4629100498862757,0.0,0.0,5.779254636762074,0.16666177792118098,0.3230769230769231,51.49487856108843,"{'advisory': 12, 'silent': 1}",clean,nuscenes
scene-0103_fa107c6dd0dc4d15b94b86cbf5b990c0_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9, 'silent': 3}",0.375,0.25,0.0,0.0,0.0,0.0,-0.7514691493021795,0.0,0.0,5.779254636762074,0.1351498372458085,0.26249999999999996,56.280003265411864,"{'advisory': 12, 'silent': 4}",clean,nuscenes
scene-0103_ead6a822f86c432481c0a9d2e4e4f827_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9, 'silent': 1}",0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,-0.6076436202501999,0.0,0.0,5.779254636762074,0.15626379516316674,0.3,53.12647438517053,"{'advisory': 12, 'silent': 2}",clean,nuscenes
scene-0103_99fbf1b9bf474215a4e8ad562bb7e9b2_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9, 'silent': 5}",0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,-0.8177595307636584,0.0,0.0,5.779254636762074,0.11977275754256962,0.23333333333333328,58.64722091760705,"{'advisory': 12, 'silent': 6}",clean,nuscenes
scene-0103_6e71a9ceaf9a4974a1d07a2bd3544506_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9, 'silent': 6}",0.47368421052631576,0.21052631578947367,0.0,0.0,0.0,0.0,-0.8366600265340756,0.0,0.0,5.779254636762074,0.1129995980604297,0.22105263157894733,59.5571095200669,"{'advisory': 12, 'silent': 7}",clean,nuscenes
