scene_id,dataset,mean_score
scene-0061_b4db946778484c2195efa320571f53dc_clip000,nuscenes,66.36669628
scene-0061_e2f67391cb914b0cbdda3995dbc397f8_clip000,nuscenes,66.1091193
scene-0061_95fc384cb4994ffe9a5caf914274ab22_clip000,nuscenes,66.63830805
scene-0061_0e79e7bed1d543c9a00acfbf90ff60b3_clip000,nuscenes,61.08128065
scene-0061_1bc410ff237c4c48b9b7b094a9eaeb4d_clip000,nuscenes,66.81767983
scene-0061_71603dd1a2ba4e9daf095535e38310ac_clip000,nuscenes,66.63830805
scene-0061_eb3da8843f614a90a48ddb6ee392c0c0_clip000,nuscenes,66.63830805
scene-0061_070412f6a4f944e6a0a9e01ac1ea1fee_clip000,nuscenes,67.07889601
scene-0061_e59d97d4403a48b88fbb6a58fc9959e6_clip000,nuscenes,66.81767983
scene-0061_e1e148c7bcb14072822872a4cfc8e882_clip000,nuscenes,66.81767983
scene-0061_f81722a685cc49eba454efbb3aec0331_clip000,nuscenes,66.63830805
scene-0061_acc1b985c3b746cdbb22fc59bb41b774_clip000,nuscenes,66.81767983
scene-0061_73ee514c205c483da3d1d04282337457_clip000,nuscenes,66.81767983
scene-0061_9e6d680cd81942f5acdfbb07254f8f45_clip000,nuscenes,67.39728682
scene-0061_1e775890010e4d97b74ca1d06441d023_clip000,nuscenes,78.03292928
scene-0061_203a688b840844b8ae16a2b07967ffad_clip000,nuscenes,78.03292928
scene-0103_3b19bb63d0924f4da3034819357d6c8b_clip000,nuscenes,53.12647439
scene-0103_68a40df2846e4298af0417ea12721b5c_clip000,nuscenes,51.49487856
scene-0103_fa107c6dd0dc4d15b94b86cbf5b990c0_clip000,nuscenes,56.28000327
scene-0103_ead6a822f86c432481c0a9d2e4e4f827_clip000,nuscenes,53.12647439
scene-0103_99fbf1b9bf474215a4e8ad562bb7e9b2_clip000,nuscenes,58.64722092
scene-0103_6e71a9ceaf9a4974a1d07a2bd3544506_clip000,nuscenes,59.55710952
scene-0103_34aaf645a4174c6c8ff1874e6b33ccf6_clip000,nuscenes,57.51346307
scene-0103_b3412553d70f40b3a1d19a0eb8529a08_clip000,nuscenes,68.09495997
scene-0103_e147a4c07e06487592fb5d6135c27a78_clip000,nuscenes,63.83315969
scene-0103_996d9e039f7a4838ac48d5409ca89732_clip000,nuscenes,58.64722092
scene-0103_72137291381349428afb1038d4e5898c_clip000,nuscenes,58.64722092
scene-0103_c34cb46c7be6486a85ee49653850b174_clip000,nuscenes,59.55710952
scene-0103_5d77c275683248658e7564ef24bf63b2_clip000,nuscenes,59.55710952
scene-0103_3c7331d16ac6439e9bd5a57d75976446_clip000,nuscenes,69.59196319
scene-0103_0809d64df9264121bead0772ee9b5984_clip000,nuscenes,61.48964799
scene-0103_ad2ae385245f46d49b4d06f87e2ac544_clip000,nuscenes,59.55710952
scene-0103_09810748e6c04aacb393ebf14fafa5e8_clip000,nuscenes,70.80951256
scene-0103_4ce8f37952ad4203b1f5b23c728fb2e6_clip000,nuscenes,68.09495997
scene-0103_c1fe224b76cc49e294847788c443e470_clip000,nuscenes,68.09495997
scene-0103_608f6c85cd524242bc9d299c0a954f69_clip000,nuscenes,63.03494484
scene-0103_723af3d23fb445e3ab97669e85846445_clip000,nuscenes,61.00212797
scene-0553_19804c352c0a4767b61b8d0709d1db99_clip000,nuscenes,76.55167158
scene-0553_b61b72a5b5ad482e9bc94c203f75b8d4_clip000,nuscenes,76.43651835
scene-0553_21d4060224a946e5b66fd00749282e82_clip000,nuscenes,76.25726101
scene-0553_340ccb3c0dcb492eaa032f0e4e3017bb_clip000,nuscenes,76.50253618
scene-0553_afd097377c71479ea8349eeae83b8143_clip000,nuscenes,76.50253618
